                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1734,                 1.9689,                 1.8631,                0.36183,                0.49603,                0.51544,                 0.3799,                 1.0774,                 2.1926,                 1.8821,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.1564,                 1.9539,                 1.8256,                0.28792,                0.49382,                0.49409,                0.35219,                 1.1289,                 2.0336,                 1.9394,             0.00082925,             0.00082925,             0.00082925
                     36,                  1.091,                 1.8446,                 1.7832,                0.35485,                0.62102,                0.56443,                0.43418,                0.92884,                 1.8595,                 1.7613,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0873,                 1.8621,                 1.7389,                0.35734,                0.52026,                0.47145,                0.35771,                0.97181,                 1.9978,                 1.7959,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.0703,                 1.8755,                 1.7408,                 0.2991,                0.62445,                0.43946,                0.32331,                0.97622,                  2.031,                 1.6946,             0.00079213,             0.00079213,             0.00079213
                     39,                  1.089,                 1.8218,                 1.7243,                0.41507,                0.63049,                0.50954,                0.39599,                 1.0169,                 1.8633,                 1.7681,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0623,                 1.8185,                 1.7332,                0.37775,                0.55377,                0.48262,                0.36508,                0.98305,                 2.0726,                  1.812,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0314,                 1.7647,                 1.6921,                 0.3677,                0.60131,                0.56586,                0.43654,                0.92467,                 1.7947,                 1.6782,               0.000755,               0.000755,               0.000755
                     42,                  1.008,                 1.7395,                 1.6959,                 0.3638,                0.57412,                0.55916,                0.41071,                0.98807,                 1.7731,                 1.7658,             0.00074263,             0.00074263,             0.00074263
                     43,                  1.001,                 1.6869,                 1.6516,                0.38399,                0.60955,                0.54814,                  0.446,                0.88046,                 1.8151,                 1.6987,             0.00073025,             0.00073025,             0.00073025
                     44,                0.96978,                 1.7057,                 1.6368,                0.37387,                0.58093,                0.56156,                0.44494,                0.84725,                 1.7349,                 1.5731,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0411,                 1.7465,                 1.6795,                0.28785,                0.70012,                0.49065,                0.39419,                0.92832,                 1.9665,                  1.675,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0191,                  1.734,                 1.6942,                0.46935,                0.54163,                0.53838,                0.42369,                0.93174,                 1.8683,                 1.6675,             0.00069313,             0.00069313,             0.00069313
                     47,                 0.9886,                  1.672,                  1.646,                0.41063,                0.65873,                0.58631,                0.44983,                0.93694,                 1.8413,                 1.7071,             0.00068075,             0.00068075,             0.00068075
                     48,                0.97427,                 1.6636,                  1.632,                0.44231,                0.51305,                0.54643,                0.42403,                 0.9261,                 1.8073,                 1.7021,             0.00066838,             0.00066838,             0.00066838
                     49,                0.92077,                 1.6476,                 1.6105,                0.63522,                0.49624,                 0.5981,                0.47849,                0.89539,                 1.6912,                 1.6361,               0.000656,               0.000656,               0.000656
                     50,                0.95877,                  1.575,                 1.6087,                0.67471,                0.50494,                0.61137,                0.49604,                0.84342,                 1.6825,                 1.6065,             0.00064362,             0.00064362,             0.00064362
                     51,                0.93801,                 1.6039,                 1.5911,                0.35705,                0.62396,                0.49847,                0.38122,                0.95345,                 1.9969,                  1.718,             0.00063125,             0.00063125,             0.00063125
                     52,                0.96291,                  1.613,                 1.5907,                0.59992,                0.57393,                 0.6604,                0.52862,                0.88679,                 1.6748,                  1.603,             0.00061887,             0.00061887,             0.00061887
                     53,                0.91978,                 1.5744,                 1.5833,                 0.6124,                0.45009,                 0.5655,                 0.4254,                0.94567,                 1.8801,                 1.6682,              0.0006065,              0.0006065,              0.0006065
                     54,                0.94729,                 1.5708,                 1.5859,                0.57622,                0.53527,                 0.6197,                0.48914,                0.84928,                 1.6531,                 1.5774,             0.00059413,             0.00059413,             0.00059413
                     55,                0.91055,                 1.5664,                  1.576,                 0.5592,                0.49287,                0.56139,                0.47599,                0.83586,                 1.6303,                 1.5811,             0.00058175,             0.00058175,             0.00058175
                     56,                0.92843,                 1.5681,                 1.5776,                0.44638,                 0.7007,                0.60339,                0.47594,                0.85982,                 1.6623,                 1.5512,             0.00056938,             0.00056938,             0.00056938
                     57,                0.89976,                 1.5716,                 1.5513,                0.38175,                0.71014,                 0.5641,                0.45749,                0.85879,                 1.6872,                 1.5612,               0.000557,               0.000557,               0.000557
                     58,                0.90238,                 1.5612,                 1.5315,                0.39777,                0.64932,                0.58996,                0.48366,                0.82013,                 1.5929,                 1.5592,             0.00054463,             0.00054463,             0.00054463
                     59,                0.87648,                 1.4658,                 1.5249,                0.43623,                0.62121,                0.63231,                 0.4755,                 0.8783,                 1.7755,                 1.6356,             0.00053225,             0.00053225,             0.00053225
                     60,                0.88222,                 1.4809,                 1.5219,                0.60196,                 0.5443,                0.60717,                 0.5066,                0.80032,                 1.5745,                 1.4927,             0.00051988,             0.00051988,             0.00051988
                     61,                0.86281,                  1.447,                  1.509,                0.60322,                0.52074,                0.57208,                0.48203,                0.86644,                 1.6889,                 1.5371,              0.0005075,              0.0005075,              0.0005075
                     62,                0.89239,                 1.4871,                  1.539,                0.53138,                0.55675,                0.61297,                0.50557,                0.75915,                 1.5229,                  1.449,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.8487,                 1.4473,                 1.5023,                0.45503,                0.56301,                0.56227,                0.45304,                0.81601,                 1.6995,                 1.5115,             0.00048275,             0.00048275,             0.00048275
                     64,                0.86138,                 1.4129,                 1.5027,                0.52301,                0.66174,                0.56001,                0.43729,                0.75488,                 1.5808,                 1.4614,             0.00047038,             0.00047038,             0.00047038
                     65,                0.88648,                 1.4528,                 1.5125,                 0.4906,                0.66896,                0.61041,                0.47168,                0.79484,                 1.5256,                 1.4734,               0.000458,               0.000458,               0.000458
                     66,                0.85339,                 1.4066,                 1.5024,                0.38862,                0.70742,                0.63005,                0.52175,                0.77408,                 1.4551,                 1.4727,             0.00044563,             0.00044563,             0.00044563
                     67,                0.85394,                 1.4041,                  1.496,                0.67977,                0.40972,                 0.6276,                0.50587,                0.85508,                  1.653,                 1.5141,             0.00043325,             0.00043325,             0.00043325
                     68,                0.83758,                 1.4087,                 1.4643,                0.53046,                0.59924,                0.63476,                0.53812,                0.72572,                 1.6402,                 1.4241,             0.00042087,             0.00042087,             0.00042087
                     69,                0.81087,                 1.3821,                 1.4818,                0.42499,                 0.7331,                0.64354,                0.50338,                0.83319,                 1.4867,                 1.5137,              0.0004085,              0.0004085,              0.0004085
                     70,                0.84059,                 1.3944,                 1.4893,                0.59225,                0.43578,                 0.6135,                0.51326,                0.77656,                 1.4492,                 1.4282,             0.00039613,             0.00039613,             0.00039613
                     71,                0.81152,                 1.3534,                  1.473,                0.36657,                0.65336,                0.59279,                0.49413,                0.78029,                 1.5544,                 1.4882,             0.00038375,             0.00038375,             0.00038375
                     72,                0.78666,                 1.3982,                 1.4451,                0.51149,                 0.5584,                0.60377,                0.50709,                0.79601,                 1.6199,                 1.4951,             0.00037138,             0.00037138,             0.00037138
                     73,                0.79506,                 1.3535,                  1.443,                  0.706,                0.44935,                0.61824,                0.53038,                0.76386,                 1.5106,                 1.4808,               0.000359,               0.000359,               0.000359
                     74,                0.78796,                 1.3467,                 1.4624,                0.59805,                 0.4242,                0.58936,                0.49651,                0.81387,                 1.6032,                   1.51,             0.00034663,             0.00034663,             0.00034663
                     75,                0.80407,                 1.3311,                 1.4398,                0.55414,                 0.4478,                0.59403,                0.48898,                0.80865,                 1.6527,                 1.5133,             0.00033425,             0.00033425,             0.00033425
                     76,                0.83216,                 1.4027,                 1.4706,                0.39865,                 0.7239,                0.59136,                0.46744,                0.85769,                 1.6135,                 1.5292,             0.00032188,             0.00032188,             0.00032188
